condition,Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
answer,68f6f470788e368287cdfcdb,5563984afdf99b672b5749b6,APPROVED,Not Applicable,2025-10-21T02:48:16.513000Z,2025-10-21T03:51:43.376000Z,2025-10-28T02:53:18.225000Z,2025-10-21T03:51:43.913660Z,3807.0,CIFH4XG1,7264,English,44,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
answer,68f6f4759a52a823ffd5fbde,5dd2f94a238a913096c52317,APPROVED,Not Applicable,2025-10-21T02:48:34.839000Z,2025-10-21T03:07:21.509000Z,2025-10-28T02:53:19.726000Z,2025-10-21T03:07:25.255591Z,1127.0,CIFH4XG1,12247,English,43,Female,White,United States,United States,United States,English,No,Full-Time
answer,68f6f485708d28eaa5fcb84c,673feeafa80a279f5cc63e33,APPROVED,Not Applicable,2025-10-21T02:55:03.177000Z,2025-10-21T03:42:48.675000Z,2025-10-28T02:53:26.219000Z,2025-10-21T03:42:49.085503Z,2866.0,CIFH4XG1,4591,English,62,Female,White,United States,United States,United States,English,No,Full-Time
answer,68f6f48ae1da405e81113d1c,667d08e12ac1bcbdd829a936,APPROVED,Not Applicable,2025-10-21T02:48:46.793000Z,2025-10-21T02:57:28.530000Z,2025-10-28T02:53:20.991000Z,2025-10-21T02:57:28.900840Z,522.0,CIFH4XG1,3063,English,21,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
answer,68f6f9fa753bf53c401d3043,5d49a0b751695e0001a188a8,APPROVED,Not Applicable,2025-10-21T03:12:06.719000Z,2025-10-21T03:23:32.051000Z,2025-10-28T02:53:28.031000Z,2025-10-21T03:23:32.415372Z,686.0,CIFH4XG1.,11482,English,61,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
answer,690680a0d15e41551cbb60ef,6701580c116225812fb34d99,APPROVED,Not Applicable,2025-11-01T21:50:26.948000Z,2025-11-01T22:03:18.554000Z,2025-11-04T02:45:00.001000Z,2025-11-01T22:03:18.957841Z,772.0,CIFH4XG1,129,English,38,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
answer,690680a2bb7538b94cddae95,65c10d8000af1af81e3f42ec,APPROVED,Not Applicable,2025-11-01T21:59:10.310000Z,2025-11-01T22:27:14.968000Z,2025-11-04T02:44:52.102000Z,2025-11-01T22:27:15.343645Z,1685.0,CIFH4XG1,2045,English,37,Female,Black,United States,United States,United States,English,No,Part-Time
answer,6906810bdda29852d635d1de,627121bbdd4e39bcc0a0079f,APPROVED,Not Applicable,2025-11-01T21:52:15.925000Z,2025-11-01T22:01:23.610000Z,2025-11-14T21:17:28.924000Z,2025-11-01T22:01:24.035695Z,548.0,CIFH4XG1.,2235,English,47,Female,White,United States,United States,United States,English,No,Part-Time
answer,69068113ee866f3da046f840,67a60aab3179b5e743db2a2b,APPROVED,Not Applicable,2025-11-01T21:52:24.034000Z,2025-11-01T22:24:56.033000Z,2025-11-04T02:44:47.202000Z,2025-11-01T22:24:56.433213Z,1952.0,CIFH4XG1,2386,English,67,Male,White,United States,United States,United States,English,No,Full-Time
answer,69068184dcf36a4f4e676182,6678a6336d90a3a9973585c3,APPROVED,Not Applicable,2025-11-01T21:54:25.510000Z,2025-11-01T22:33:23.265000Z,2025-11-04T02:44:48.696000Z,2025-11-01T22:33:23.657907Z,2338.0,CIFH4XG1,2504,English,32,Male,White,United States,United States,United States,English,No,Full-Time
answer,6906820f03a8c01d9c40ebfd,66e12593ddd5a01785c4e288,APPROVED,Not Applicable,2025-11-01T21:56:31.958000Z,2025-11-01T22:21:10.575000Z,2025-11-04T02:44:49.921000Z,2025-11-01T22:21:10.953655Z,1479.0,CIFH4XG1,3853,English,20,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
answer,6906824795f6123966d1ec3c,644bc265cb8a19eab3311bab,APPROVED,Not Applicable,2025-11-01T21:57:31.391000Z,2025-11-01T22:35:26.703000Z,2025-11-04T02:44:51.154000Z,2025-11-01T22:35:27.077114Z,2276.0,CIFH4XG1,4398,English,52,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
answer,690683be59aadae7f1969fdf,651090beae417ded35c4ef2f,APPROVED,Not Applicable,2025-11-01T22:03:42.318000Z,2025-11-01T22:29:16.821000Z,2025-11-04T02:44:53.041000Z,2025-11-01T22:29:17.239454Z,1535.0,CIFH4XG1,5548,English,73,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
answer,690686e95030b2e4ff8cd87d,6748f8e31516667cc3eb71e8,APPROVED,Not Applicable,2025-11-01T22:17:19.607000Z,2025-11-01T22:38:45.605000Z,2025-11-04T02:44:54.023000Z,2025-11-01T22:38:45.965087Z,1286.0,CIFH4XG1,709,English,36,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
answer,690969a40e89bb0c3b73810b,66a6bbb40b48d0e4f326767e,APPROVED,Not Applicable,2025-11-04T02:49:26.927000Z,2025-11-04T03:09:55.168000Z,2025-11-14T21:17:40.098000Z,2025-11-04T03:09:55.576017Z,1229.0,CIFH4XG1,3724,English,33,Male,White,United States,United States,United States,English,Yes,Full-Time
answer,690969a5482635c595d6ea68,672d127c0844b35fabc0dae8,APPROVED,Not Applicable,2025-11-04T02:49:19.318000Z,2025-11-04T03:00:03.278000Z,2025-11-14T21:17:32.141000Z,2025-11-04T03:00:03.647123Z,644.0,CIFH4XG1,1898,English,25,Male,White,United States,United States,United States,English,Yes,Part-Time
answer,690969a743768a0399595387,672bc3ce315f709fe35a3392,APPROVED,Not Applicable,2025-11-04T02:49:14.768000Z,2025-11-04T02:57:30.828000Z,2025-11-14T21:17:30.825000Z,2025-11-04T02:57:31.222130Z,497.0,CIFH4XG1,1731,English,52,Male,White,United States,United States,United States,English,No,Part-Time
answer,690969a7f2838f7656334299,66ccdd9f6b12c6ea6fa01f42,APPROVED,Not Applicable,2025-11-04T02:49:15.480000Z,2025-11-04T03:14:18.052000Z,2025-11-14T21:17:12.699000Z,2025-11-04T03:14:18.463195Z,1503.0,CIFH4XG1,4705,English,33,Male,White,United States,United States,Germany,English,DATA_EXPIRED,Full-Time
answer,690969a84c34ede18d606b87,55bd8669fdf99b5bfc7d4cfc,APPROVED,Not Applicable,2025-11-04T02:49:18.443000Z,2025-11-04T03:35:12.532000Z,2025-11-14T21:17:15.674000Z,2025-11-04T03:35:12.943064Z,2755.0,CIFH4XG1,10756,English,32,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
answer,690969a8be20f0ea1cecf499,66cee9fa0061a677d1b1f385,APPROVED,Not Applicable,2025-11-04T02:49:53.533000Z,2025-11-04T03:04:00.091000Z,2025-11-14T21:18:02.643000Z,2025-11-04T03:04:00.506463Z,847.0,CIFH4XG1,1036,English,43,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
answer,690969aa25ee2b538fe5d098,6781935f0fbff63cc8eb3595,APPROVED,Not Applicable,2025-11-04T02:50:53.586000Z,2025-11-04T03:24:34.691000Z,2025-11-14T21:18:02.893000Z,2025-11-04T03:24:35.099926Z,2022.0,CIFH4XG1,2366,English,45,Male,Other,United States,United States,United States,Spanish,No,Full-Time
answer,690969ab25ee2b538fe5d09a,5b16e1a5457ace0001b40d46,APPROVED,Not Applicable,2025-11-04T02:49:18.820000Z,2025-11-04T03:13:40.298000Z,2025-11-14T21:17:14.094000Z,2025-11-04T03:13:40.697445Z,1462.0,CIFH4XG1,8694,"Indonesian, English",45,Female,Asian,Indonesia,United States,United States,Indonesian,DATA_EXPIRED,DATA_EXPIRED
answer,690969ab440c102cdc3ee5ce,660dfb0b513cd3c8af03656e,APPROVED,Not Applicable,2025-11-04T02:49:21.003000Z,2025-11-04T02:57:10.732000Z,2025-11-14T21:17:17.175000Z,2025-11-04T02:57:11.157221Z,470.0,CIFH4XG1,3848,English,44,Female,White,United States,United States,United States,English,No,Full-Time
answer,690969af1be661d6374924d6,644a53ac09de69785b70ec16,APPROVED,Not Applicable,2025-11-04T02:49:24.014000Z,2025-11-04T03:18:32.216000Z,2025-11-14T21:17:21.562000Z,2025-11-04T03:18:32.597098Z,1749.0,CIFH4XG1,2854,English,62,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
answer,690969b04bb661aac274d24a,60fd6618f9a377f54dcdf318,APPROVED,Not Applicable,2025-11-04T02:49:23.324000Z,2025-11-04T03:14:35.380000Z,2025-11-14T21:17:20.384000Z,2025-11-04T03:14:35.769471Z,1513.0,CIFH4XG1,18208,English,39,Male,Mixed,United States,United States,United States,English,Yes,Full-Time
answer,690969b0ecffa09d3a4683e0,61647de75314468d5cb57f93,APPROVED,Not Applicable,2025-11-04T02:49:25.911000Z,2025-11-04T03:12:09.404000Z,2025-11-14T21:17:33.376000Z,2025-11-04T03:12:09.805637Z,1364.0,CIFH4XG1,3082,English,27,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
answer,690969b1b1056ae5914a3883,5d849ee0a954540019f513dd,APPROVED,Not Applicable,2025-11-04T02:49:25.918000Z,2025-11-04T03:11:59.277000Z,2025-11-14T21:17:35.469000Z,2025-11-04T03:11:59.643376Z,1354.0,CIFH4XG1,8620,English,36,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
answer,690969b1d8693e10a9e36ae6,5e916cb9e502b1498e8fc059,APPROVED,Not Applicable,2025-11-04T02:49:26.061000Z,2025-11-04T03:06:58.470000Z,2025-11-14T21:17:36.776000Z,2025-11-04T03:06:58.838736Z,1053.0,CIFH4XG1,5702,English,61,Male,White,United States,United States,United States,English,No,Full-Time
answer,690969b225435be9f6dc873d,665b7b047373d8da553237a6,APPROVED,Not Applicable,2025-11-04T02:49:21.994000Z,2025-11-04T03:08:08.603000Z,2025-11-14T21:17:19.133000Z,2025-11-04T03:08:09.001885Z,1127.0,CIFH4XG1,5823,"English, Cantonese",25,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
answer,690969b22bdce115d9c81b47,657e2b6843cb49c64a6cb939,APPROVED,Not Applicable,2025-11-04T02:49:27.782000Z,2025-11-04T03:01:31.242000Z,2025-11-14T21:18:03.140000Z,2025-11-04T03:01:31.687561Z,724.0,CIFH4XG1,2655,English,56,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
answer,690969b2fdf5cb8b3f7d081a,650b03136ab3d4c832d98b71,APPROVED,Not Applicable,2025-11-04T02:53:02.527000Z,2025-11-04T03:19:00.760000Z,2025-11-14T21:18:03.423000Z,2025-11-04T03:19:01.175844Z,1559.0,CIFH4XG1,11213,English,31,Male,Other,Israel,United States,United States,Hebrew,No,Part-Time
answer,690969b495987d288a841285,683cbc0c0c2d722831c8bc17,APPROVED,Not Applicable,2025-11-04T02:49:47.001000Z,2025-11-04T03:14:24.157000Z,2025-11-14T21:18:03.691000Z,2025-11-04T03:14:24.539313Z,1478.0,CIFH4XG1,464,English,49,Female,White,United States,United States,United States,English,No,Part-Time
answer,690969b4a2e7e04ac08a7178,5f4d296913fe2f98d46f520c,APPROVED,Not Applicable,2025-11-04T02:49:27.505000Z,2025-11-04T02:57:37.225000Z,2025-11-14T21:18:03.908000Z,2025-11-04T02:57:37.617694Z,490.0,CIFH4XG1,572,English,24,Female,Black,United States,United States,United States,English,Yes,Full-Time
answer,690969b589c5c1948db602f5,668ddcae66b7fcec2f492fd0,APPROVED,Not Applicable,2025-11-04T02:49:30.119000Z,2025-11-04T03:00:06.840000Z,2025-11-14T21:18:04.136000Z,2025-11-04T03:00:07.238341Z,637.0,CIFH4XG1,2469,English,50,Male,White,United States,United States,United States,English,No,Full-Time
answer,690969b5f921b6532c4f99cd,6711938cdab75bc0f20337b5,APPROVED,Not Applicable,2025-11-04T02:50:32.639000Z,2025-11-04T03:15:18.177000Z,2025-11-14T21:18:04.364000Z,2025-11-04T03:15:18.558624Z,1486.0,CIFH4XG1,416,English,25,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
answer,690969b61783462191961081,67cdf158555dc24e9c13714a,APPROVED,Not Applicable,2025-11-04T02:51:36.711000Z,2025-11-04T03:32:17.273000Z,2025-11-14T21:18:04.604000Z,2025-11-04T03:32:17.651950Z,2441.0,CIFH4XG1,3004,English,28,Male,White,United States,United States,United States,English,No,Full-Time
answer,690969b6fd2625bf10352d3d,66c019586569ea36287bd523,APPROVED,Not Applicable,2025-11-04T02:49:29.806000Z,2025-11-04T03:00:55.622000Z,2025-11-14T21:18:04.835000Z,2025-11-04T03:00:56.031043Z,686.0,CIFH4XG1,582,English,41,Female,White,United States,United States,United States,English,No,Full-Time
answer,690969b768b824f0fd539ba2,5ebb96b6cd673a0008ace9ce,APPROVED,Not Applicable,2025-11-04T02:49:27.980000Z,2025-11-04T03:12:15.975000Z,2025-11-14T21:18:05.048000Z,2025-11-04T03:12:16.366102Z,1368.0,CIFH4XG1,7400,English,28,Male,Asian,United States,United States,United States,Bengali,Yes,Other
answer,690969b86d2f7cca0651c530,5d90298097a2130015f3fa3c,APPROVED,Not Applicable,2025-11-04T02:49:32.446000Z,2025-11-04T03:03:45.508000Z,2025-11-14T21:18:05.251000Z,2025-11-04T03:03:45.987915Z,854.0,CIFH4XG1,3222,English,34,Male,White,United States,United States,United States,English,No,Full-Time
answer,690969b8a4204defcd5ae156,6744fb5c6a8a3d8e3f531da3,APPROVED,Not Applicable,2025-11-04T02:49:34.007000Z,2025-11-04T03:03:32.254000Z,2025-11-14T21:18:05.488000Z,2025-11-04T03:03:32.760117Z,839.0,CIFH4XG1,3375,English,43,Male,White,United States,United States,United States,English,Yes,Full-Time
answer,69096a53cdea08bff3ae4810,62c63362e7342ad8be294866,APPROVED,Not Applicable,2025-11-04T02:52:09.094000Z,2025-11-04T03:26:49.328000Z,2025-11-14T21:18:05.815000Z,2025-11-04T03:26:49.771359Z,2081.0,CIFH4XG1,5144,English,45,Male,White,United States,United States,United States,English,No,Full-Time
answer,69096b45ce6a65ee45e75c94,5de7d7a6603b1b73f3944f8e,APPROVED,Not Applicable,2025-11-04T02:56:10.927000Z,2025-11-04T03:32:48.603000Z,2025-11-14T21:18:06.152000Z,2025-11-04T03:32:49.004728Z,2198.0,CIFH4XG1,9128,English,39,Male,White,United States,United States,United States,English,No,Full-Time
answer,69096ba97a0ba2540b6ead39,66ba9cd5343e159bdc8691ad,APPROVED,Not Applicable,2025-11-04T02:57:49.586000Z,2025-11-04T03:17:57.261000Z,2025-11-14T21:18:06.383000Z,2025-11-04T03:17:57.657439Z,1208.0,CIFH4XG1,814,English,23,Male,White,United States,United States,United States,English,No,Full-Time
answer,69096cc5a45792f926d66c6f,653f2424042d03012eb92ef5,APPROVED,Not Applicable,2025-11-04T03:04:41.879000Z,2025-11-04T03:31:21.556000Z,2025-11-14T21:18:06.631000Z,2025-11-04T03:31:21.932091Z,1600.0,CIFH4XG1,4925,English,68,Female,White,United States,United States,United States,English,No,Full-Time
answer,690971b4dbe61a4e247e71e4,664c4e829445321c23a8de52,APPROVED,Not Applicable,2025-11-04T03:23:38.687000Z,2025-11-04T03:51:21.587000Z,2025-11-14T21:18:06.861000Z,2025-11-04T03:51:22.178982Z,1663.0,CIFH4XG1,2499,English,46,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
answer,69179cb4aca48018f3829702,67a8bfb2f846cd3ea9bcd898,APPROVED,Not Applicable,2025-11-14T21:18:51.642000Z,2025-11-14T21:39:39.931000Z,2025-11-16T14:23:23.882000Z,2025-11-14T21:39:40.314750Z,1249.0,CIFH4XG1,2525,English,29,Female,Black,United States,United States,United States,English,Yes,Full-Time
answer,69179cb66a73e2c8a9de43f5,673e5a3412198a5e62837745,APPROVED,Not Applicable,2025-11-14T21:18:54.080000Z,2025-11-14T21:42:38.065000Z,2025-11-16T14:23:28.295000Z,2025-11-14T21:42:39.188783Z,1424.0,CIFH4XG1,1892,English,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
answer,69179cb858dd90d189733756,5d654282986878001c2a5db7,APPROVED,Not Applicable,2025-11-14T21:18:51.748000Z,2025-11-14T21:51:57.324000Z,2025-11-16T14:23:26.196000Z,2025-11-14T21:51:57.719779Z,1986.0,CIFH4XG1,8160,"English, Hebrew",43,Female,White,United States,United States,United States,English,No,Full-Time
answer,6917b124b18706a254042279,67fd8520a5dcf6eaa319fc52,APPROVED,Not Applicable,2025-11-14T22:46:01.128000Z,2025-11-14T22:57:58.810000Z,2025-11-16T14:23:30.500000Z,2025-11-14T22:57:59.242917Z,718.0,CIFH4XG1,1038,English,67,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
answer,6917b126ffbf114aa4aedbaa,5d58b018a0c0940001a47057,APPROVED,Not Applicable,2025-11-14T22:46:10.626000Z,2025-11-14T23:02:25.265000Z,2025-11-16T14:23:32.645000Z,2025-11-14T23:02:25.929291Z,975.0,CIFH4XG1,3293,English,51,Female,White,United States,United States,United States,English,No,Part-Time
reasoning,68f470a02a59e74fa45a0622,66f63aeba07bb69cb2f44c32,approved,Not Applicable,2025-10-19T05:01:23.944000Z,2025-10-19T05:21:45.859000Z,2025-11-01T21:46:03.183000Z,2025-10-19T05:21:47.383879Z,1222.0,CIFH4XG1,3959,English,33,Male,White,United States,United States,United States,English,No,Full-Time
reasoning,68f470a3a95f5f4f7cd91274,6722b6b9cb69415ce7f4c688,approved,Not Applicable,2025-10-19T05:01:23.780000Z,2025-10-19T05:33:45.701000Z,2025-11-01T21:46:01.718000Z,2025-10-19T05:33:46.757917Z,1942.0,CIFH4XG1,2112,English,42,Male,White,Spain,United States,United States,Spanish,No,Full-Time
reasoning,68f4710b34485588daa2cd00,66a2812744e8026f80ef0879,approved,Not Applicable,2025-10-19T05:03:07.330000Z,2025-10-19T06:00:43.297000Z,2025-11-01T21:46:06.742000Z,2025-10-19T06:00:43.795401Z,3456.0,CIFH4XG1,4138,English,54,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
reasoning,68f473ac0ef61d69dec91929,66ede43c37f73f556e9cdf22,approved,Not Applicable,2025-10-19T05:14:25.237000Z,2025-10-19T05:46:12.936000Z,2025-11-01T21:46:05.166000Z,2025-10-19T05:46:13.333711Z,1908.0,CIFH4XG1,265,English,25,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
reasoning,68f47c45abfe99efcd25b6e0,628f9cfbee6de7cc7322fecf,approved,Not Applicable,2025-10-19T05:51:41.030000Z,2025-10-19T06:34:57.809000Z,2025-11-01T21:46:08.516000Z,2025-10-19T06:34:59.793682Z,2597.0,CIFH4XG1,9169,English,31,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
reasoning,690680369a94f0b4822cb85f,66fdd6ecd96e23c98cf47a4a,approved,Not Applicable,2025-11-01T21:49:03.817000Z,2025-11-01T22:37:07.898000Z,2025-11-04T02:45:17.912000Z,2025-11-01T22:37:08.360079Z,2885.0,CIFH4XG1,1151,English,37,Female,White,United States,United States,United States,English,No,Full-Time
reasoning,6906808b07049d2d50c567a3,5e4b793f03c92a08a6d28e3f,approved,Not Applicable,2025-11-01T21:50:09.045000Z,2025-11-01T22:39:46.689000Z,2025-11-04T02:45:19.628000Z,2025-11-01T22:39:47.071667Z,2978.0,CIFH4XG1,2702,English,26,Male,Asian,United States,United States,United States,English,No,Part-Time
reasoning,6906813a3cc1fd3b65a2024d,66e4c4358de330a06b4d33f1,approved,Not Applicable,2025-11-01T21:53:02.350000Z,2025-11-01T22:30:04.563000Z,2025-11-04T02:45:20.740000Z,2025-11-01T22:30:04.949260Z,2223.0,CIFH4XG1,1885,English,80,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
reasoning,6906816275d1d6da4f45dada,583b397f54686200010f1d20,approved,Not Applicable,2025-11-01T21:53:41.177000Z,2025-11-01T22:56:23.454000Z,2025-11-04T02:45:21.680000Z,2025-11-01T22:56:23.997767Z,3763.0,CIFH4XG1,15626,English,53,Female,Black,United States,United States,United States,English,No,Full-Time
reasoning,690682715d8f06ee4f378d14,582474a8aac01b0001e45ef9,approved,Not Applicable,2025-11-01T21:58:14.219000Z,2025-11-01T22:47:07.036000Z,2025-11-04T02:45:22.556000Z,2025-11-01T22:47:07.400043Z,2933.0,CIFH4XG1,3155,English,47,Male,White,United States,United States,United States,English,No,Full-Time
reasoning,69068290f1c34ac46fe0730b,65bfa2967c731d263eb29732,approved,Not Applicable,2025-11-01T21:58:51.277000Z,2025-11-01T22:33:24.796000Z,2025-11-04T02:45:23.437000Z,2025-11-01T22:33:25.181621Z,2074.0,CIFH4XG1,2068,English,29,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
