Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68f6f470788e368287cdfcdb,5563984afdf99b672b5749b6,APPROVED,Not Applicable,2025-10-21T02:48:16.513000Z,2025-10-21T03:51:43.376000Z,2025-10-28T02:53:18.225000Z,2025-10-21T03:51:43.913660Z,3807,CIFH4XG1,7264,English,44,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68f6f4759a52a823ffd5fbde,5dd2f94a238a913096c52317,APPROVED,Not Applicable,2025-10-21T02:48:34.839000Z,2025-10-21T03:07:21.509000Z,2025-10-28T02:53:19.726000Z,2025-10-21T03:07:25.255591Z,1127,CIFH4XG1,12247,English,43,Female,White,United States,United States,United States,English,No,Full-Time
68f6f485708d28eaa5fcb84c,673feeafa80a279f5cc63e33,APPROVED,Not Applicable,2025-10-21T02:55:03.177000Z,2025-10-21T03:42:48.675000Z,2025-10-28T02:53:26.219000Z,2025-10-21T03:42:49.085503Z,2866,CIFH4XG1,4591,English,62,Female,White,United States,United States,United States,English,No,Full-Time
68f6f48ae1da405e81113d1c,667d08e12ac1bcbdd829a936,APPROVED,Not Applicable,2025-10-21T02:48:46.793000Z,2025-10-21T02:57:28.530000Z,2025-10-28T02:53:20.991000Z,2025-10-21T02:57:28.900840Z,522,CIFH4XG1,3063,English,21,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68f6f9fa753bf53c401d3043,5d49a0b751695e0001a188a8,APPROVED,Not Applicable,2025-10-21T03:12:06.719000Z,2025-10-21T03:23:32.051000Z,2025-10-28T02:53:28.031000Z,2025-10-21T03:23:32.415372Z,686,CIFH4XG1.,11482,English,61,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
690680a0d15e41551cbb60ef,6701580c116225812fb34d99,APPROVED,Not Applicable,2025-11-01T21:50:26.948000Z,2025-11-01T22:03:18.554000Z,2025-11-04T02:45:00.001000Z,2025-11-01T22:03:18.957841Z,772,CIFH4XG1,129,English,38,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
690680a2bb7538b94cddae95,65c10d8000af1af81e3f42ec,APPROVED,Not Applicable,2025-11-01T21:59:10.310000Z,2025-11-01T22:27:14.968000Z,2025-11-04T02:44:52.102000Z,2025-11-01T22:27:15.343645Z,1685,CIFH4XG1,2045,English,37,Female,Black,United States,United States,United States,English,No,Part-Time
6906810bdda29852d635d1de,627121bbdd4e39bcc0a0079f,APPROVED,Not Applicable,2025-11-01T21:52:15.925000Z,2025-11-01T22:01:23.610000Z,2025-11-14T21:17:28.924000Z,2025-11-01T22:01:24.035695Z,548,CIFH4XG1.,2235,English,47,Female,White,United States,United States,United States,English,No,Part-Time
69068113ee866f3da046f840,67a60aab3179b5e743db2a2b,APPROVED,Not Applicable,2025-11-01T21:52:24.034000Z,2025-11-01T22:24:56.033000Z,2025-11-04T02:44:47.202000Z,2025-11-01T22:24:56.433213Z,1952,CIFH4XG1,2386,English,67,Male,White,United States,United States,United States,English,No,Full-Time
69068184dcf36a4f4e676182,6678a6336d90a3a9973585c3,APPROVED,Not Applicable,2025-11-01T21:54:25.510000Z,2025-11-01T22:33:23.265000Z,2025-11-04T02:44:48.696000Z,2025-11-01T22:33:23.657907Z,2338,CIFH4XG1,2504,English,32,Male,White,United States,United States,United States,English,No,Full-Time
6906820f03a8c01d9c40ebfd,66e12593ddd5a01785c4e288,APPROVED,Not Applicable,2025-11-01T21:56:31.958000Z,2025-11-01T22:21:10.575000Z,2025-11-04T02:44:49.921000Z,2025-11-01T22:21:10.953655Z,1479,CIFH4XG1,3853,English,20,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6906824795f6123966d1ec3c,644bc265cb8a19eab3311bab,APPROVED,Not Applicable,2025-11-01T21:57:31.391000Z,2025-11-01T22:35:26.703000Z,2025-11-04T02:44:51.154000Z,2025-11-01T22:35:27.077114Z,2276,CIFH4XG1,4398,English,52,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
690683be59aadae7f1969fdf,651090beae417ded35c4ef2f,APPROVED,Not Applicable,2025-11-01T22:03:42.318000Z,2025-11-01T22:29:16.821000Z,2025-11-04T02:44:53.041000Z,2025-11-01T22:29:17.239454Z,1535,CIFH4XG1,5548,English,73,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
